Overall No,Season,No. in a Season,Title,Director,Writer,Release Date
1,1,1,"""Chapter One: The Vanishing of Will Byers""",The Duffer Brothers,The Duffer Brothers,2016-07-15
2,1,2,"""Chapter Two: The Weirdo on Maple Street""",The Duffer Brothers,The Duffer Brothers,2016-07-15
3,1,3,"""Chapter Three: Holly, Jolly""",Shawn Levy,Jessica Mecklenburg,2016-07-15
4,1,4,"""Chapter Four: The Body""",Shawn Levy,Justin Doble,2016-07-15
5,1,5,"""Chapter Five: The Flea and the Acrobat""",The Duffer Brothers,Alison Tatlock,2016-07-15
6,1,6,"""Chapter Six: The Monster""",The Duffer Brothers,Jessie Nickson-Lopez,2016-07-15
7,1,7,"""Chapter Seven: The Bathtub""",The Duffer Brothers,Justin Doble,2016-07-15
8,1,8,"""Chapter Eight: The Upside Down""",The Duffer Brothers,Story by : Paul DichterTeleplay by : The Duffer Brothers,2016-07-15
9,2,1,"""Chapter One: MADMAX""",The Duffer Brothers,The Duffer Brothers,2017-10-27
10,2,2,"""Chapter Two: Trick or Treat, Freak""",The Duffer Brothers,The Duffer Brothers,2017-10-27
11,2,3,"""Chapter Three: The Pollywog""",Shawn Levy,Justin Doble,2017-10-27
12,2,4,"""Chapter Four: Will the Wise""",Shawn Levy,Paul Dichter,2017-10-27
13,2,5,"""Chapter Five: Dig Dug""",Andrew Stanton,Jessie Nickson-Lopez,2017-10-27
14,2,6,"""Chapter Six: The Spy""",Andrew Stanton,Kate Trefry,2017-10-27
15,2,7,"""Chapter Seven: The Lost Sister""",Rebecca Thomas,Justin Doble,2017-10-27
16,2,8,"""Chapter Eight: The Mind Flayer""",The Duffer Brothers,The Duffer Brothers,2017-10-27
17,2,9,"""Chapter Nine: The Gate""",The Duffer Brothers,The Duffer Brothers,2017-10-27
18,3,1,"""Chapter One: Suzie, Do You Copy?""",The Duffer Brothers,The Duffer Brothers,2019-07-04
19,3,2,"""Chapter Two: The Mall Rats""",The Duffer Brothers,The Duffer Brothers,2019-07-04
20,3,3,"""Chapter Three: The Case of the Missing Lifeguard""",Shawn Levy,William Bridges,2019-07-04
21,3,4,"""Chapter Four: The Sauna Test""",Shawn Levy,Kate Trefry,2019-07-04
22,3,5,"""Chapter Five: The Flayed""",Uta Briesewitz,Paul Dichter,2019-07-04
23,3,6,"""Chapter Six: E Pluribus Unum""",Uta Briesewitz,Curtis Gwinn,2019-07-04
24,3,7,"""Chapter Seven: The Bite""",The Duffer Brothers,The Duffer Brothers,2019-07-04
25,3,8,"""Chapter Eight: The Battle of Starcourt""",The Duffer Brothers,The Duffer Brothers,2019-07-04
26,4,1,"""Chapter One: The Hellfire Club""",The Duffer Brothers[23],The Duffer Brothers[23],2022-05-27
